ID,Region,Industry Sector,Industry Category,Gas,Units,Magnitude,Amount
209,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,38.68
210,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,36.03
211,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,44.29
212,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,45.15
213,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,39.66
214,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,42.82
215,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,47.74
216,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,42.63
217,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,57.01
218,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,62.29
219,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,58.93
220,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,43.37
221,Auckland,Mining,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,49.57
222,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,3114.06
223,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,3025.12
224,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2912.91
225,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,3049.4
226,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2920.8
227,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2957.73
228,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,3104.12
229,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,3289.78
230,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,3334.19
231,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,3319.21
232,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,3334.47
233,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,3150.39
234,Auckland,Manufacturing,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,3243.9
235,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2848.69
236,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2767.29
237,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2750.87
238,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2790.12
239,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2790.31
240,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2790.27
241,Auckland,Households,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2806.72
